"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","SPSR Nellore","2022-10-18","2022","10","0.4050799552","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-19","2022","10","0.2588099084","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-20","2022","10","1.330302512","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-21","2022","10","1.3977395248","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-22","2022","10","1.6131437844","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-23","2022","10","0.0477299005","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-24","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-25","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","SPSR Nellore","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Srikakulam","2022-10-01","2022","10","7.9843716747","NRSC VIC MODEL"
